f1, f2, front
0.1, 0.0, 
0.24624940482713642, 0.20590614702715287, 
1.0, 0.0, 
0.45783354781224683, 0.0, 
0.1660252684827438, 0.023091091735778693, 
0.585620321868499, 0.0, 
0.9393260791902098, 0.0, 
0.8701871391830333, 0.0, 
0.7505447760541117, 0.0, 
0.3944953960419197, 0.0, 
0.6896632952722374, 0.0, 
0.48564848702766517, 0.028957476571642934, 
0.7975018725588828, 0.0, 
0.611877515530233, 0.0, 
0.530273792738713, 0.0, 
0.13217579107778826, 0.0, 
0.33259753913700824, 0.0, 
0.9736884203467363, 0.0, 
0.8351750084845235, 0.0, 
0.6423658583294746, 0.0, 
0.30368528326472394, 0.0, 
0.15465199229873366, 0.0, 
0.2718725420689621, 0.0, 
0.1, 0.0, 
0.7746043748004853, 0.0, 
0.862035004102332, 0.0, 
0.31248828643729487, 0.0, 
0.3663986612917765, 0.05739057126641919, 
0.6836971722356824, 0.0, 
0.8395538987830007, 0.0, 
1.0, 0.0, 
0.9522071042936207, 0.0, 
0.7663982327472315, 0.0, 
0.6620580119728451, 0.0, 
0.3820644379147198, 0.0, 
0.6537429664030396, 0.0, 
0.5294262550207695, 0.09532192325066137, 
0.2538354309264471, 0.0, 
0.2644226623480069, 0.0, 
0.9491075296741481, 0.0, 
0.37454202741628495, 0.0, 
0.6612765396338338, 0.0, 
0.27037764895280403, 0.0, 
0.3727873603879133, 0.0, 
0.37302460264066106, 0.0, 
1.0, 0.0, 
1.0, 0.0, 
1.0, 0.0, 
1.0, 0.0, 
1.0, 0.0, 
